RequirementID,Requirement
REQ-1,The system must allow the user to navigate to the online ordering screen.
REQ-2,The system must allow the user to select which physical store to order from.
REQ-3,The system must allow the user to select a category of food for them to order from.
REQ-4,The system must allow the user to cancel their order at any time.
REQ-5,The system must allow the user to add an item of food to their order.
REQ-6,The system must allow the user to check out their order when there is at least one item in their cart.
REQ-7,The system must allow the user to add an optional facet of an item to their order when they are ordering an item that has an optional setting.
REQ-8,The system must allow the user to remove an item from their order at any time.
REQ-9,The system must allow the user to navigate to the cart screen at any time without directing the user to another webpage.
REQ-10,The system must allow the user to view all available Cedar Markets on a contextual map.
REQ-11,The system must allow the user to input their name on the checkout screen.
REQ-12,The system must allow the user to input their phone number on the checkout screen.
REQ-13,The system must allow the user to pay for their order on the checkout screen with a credit card.
REQ-14,The system must allow the user to pay for their order on the checkout screen with Cash App.
REQ-15,The system must allow the user to see their confirmation order after paying for their food.
REQ-16,The system must display the user’s inputted name for the confirmation order.
REQ-17,The system must display the user’s inputted phone number for the confirmation order.
REQ-18,The system must allow a guest to make an account.
REQ-19,The system must allow the user to log in to a user account.
REQ-20,The system must allow a logged-in user to view their order history.
REQ-21,The system must allow a logged-in user to delete their account.
REQ-22,The system should allow the user to log in to an admin account.
REQ-23,The system must allow an admin to add an item to the website.
REQ-24,The system must allow an admin to adjust the price of an existing item to the website.
REQ-25,The system must allow an admin to adjust the inventory amount of an item.
REQ-26,The system must allow an admin to remove an item from the website.
REQ-27,The system must allow an admin to delete any user account.
REQ-28,The system must allow an admin to cancel any user’s order.
REQ-29,The system must allow an admin to notify a user with email regarding their order.
REQ-30,The system must allow an admin to notify a user with text regarding their order.
REQ-31,The system must allow the user to pay for their order on the checkout screen with their WIC benefit balance.
REQ-32,The system must allow the user to pay for their order on the checkout screen with their SNAP EBT card.
REQ-33,The system should not allow orders to be made past the closing time of the restaurant.
